region;menages;population;etrangers;marocains
TANGER-TETOUAN-AL HOCEIMA;799124;3556729;7453;3549276
ORIENTAL;494530;2314346;3954;2310392
FES-MEKNES;919497;4236892;5728;4231164
RABAT-SALE-KENITRA;1015107;4580866;20212;4560654
BENI MELLAL-KHENIFRA;520174;2520776;1262;2519514
CASABLANCA-SETTAT;1559404;6861739;31239;6830500
MARRAKECH-SAFI;928120;4520569;8636;4511933
DRAA-TAFILALET;277998;1635008;796;1634212
SOUSS-MASSA;601511;2676847;4914;2671933
GUELMIM-OUED NOUN;90202;433757;347;433410
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA;78754;367758;777;366981
ED DAKHLA-OUED EDDAHAB;29385;142955;888;142067
