region;menages;population;etrangers;marocains
TANGER-TETOUAN-AL HOCEIMA;273956;1425004;342;1424662
ORIENTAL;156111;800435;385;800050
FES-MEKNES;319384;1672672;215;1672457
RABAT-SALE-KENITRA;248255;1382154;426;1381728
BENI MELLAL-KHENIFRA;232906;1282037;200;1281837
CASABLANCA-SETTAT;344977;1810990;489;1810501
MARRAKECH-SAFI;483264;2582553;1272;2581281
DRAA-TAFILALET;163367;1074270;237;1074033
SOUSS-MASSA;247709;1170951;504;1170447
GUELMIM-OUED NOUN;29329;153663;69;153594
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA;2889;24396;98;24298
ED DAKHLA-OUED EDDAHAB;3916;36678;335;36343
