region;menages;population;etrangers;marocains
TANGER-TETOUAN-AL HOCEIMA;525168;2131725;7111;2124614
ORIENTAL;338419;1513911;3569;1510342
FES-MEKNES;600113;2564220;5513;2558707
RABAT-SALE-KENITRA;766852;3198712;19786;3178926
BENI MELLAL-KHENIFRA;287268;1238739;1062;1237677
CASABLANCA-SETTAT;1214427;5050749;30750;5019999
MARRAKECH-SAFI;444856;1938016;7364;1930652
DRAA-TAFILALET;114631;560738;559;560179
SOUSS-MASSA;353802;1505896;4410;1501486
GUELMIM-OUED NOUN;60873;280094;278;279816
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA;75865;343362;679;342683
ED DAKHLA-OUED EDDAHAB;25469;106277;553;105724
