Ville,Nom,Adresse,Téléphone,Fax,Site web,Latitude,Longitude
Casablanca,Institut Supérieur de Commerce et d'Administration des Entreprises,"Km 9,5 Route de Nouasseur, Oasis BP : 8114 - Casablanca",(+212) 05 22 33 54 83,(+212) 05 22 33 54 95,www.groupeiscae.ma,"33,527214","-7,637908"
Rabat,Dar El Hadith El Hassania,"2, Rue du Dahomet, BP : 7844 - Rabat",(+212) 05 37 72 25 87,(+212) 05 37 72 62 01,www.edhh.org/,"33,965284","-6,881022"
Rabat,École Nationale d'Administration,Av. de la Victoire - BP 165 - Rabat,(+212) 05 37 72 44 00,(+212) 05 37 73 09 29,w3.ena.ac.ma/,"34,01266","-6,83939"
Rabat,Institut National d'Administration Sanitaire,"Rue Lamfadel Cherkaoui, Madinat Al Irfane - Rabat",(+212) 05 37 68 31 61,(+212) 05 37 68 31 62,,"33,988059","-6,857029"
Rabat,Institut National d'Aménagement et d'Urbanisme,Av. Allal El Fassi B.P 6215 - Rabat,(+212) 05 37 77 16 24,(+212) 05 37 77 50 09,www.inau.ac.ma,"33,987877","-6,860621"
Rabat,Institut National des Sciences de l'Archéologie et du Patrimoine,"Av. John Kennedy, Route des Zaers, BP : 503 Souissi -Rabat",(+212) 05 37 75 09 61,(+212) 05 37 75 08 84,,"33,977807","-6,871759"
Rabat,Institut Supérieur de l'Admistration,N° 44 - Avenue Ibn Toumert - BP 2659 - Rabat,(+212) 05 37 26 36 43,(+212) 05 37 26 02 23,www.isa.ma/,"34,014203","-6,838672"
Rabat,Institut Supérieur d'Art Dramatique et d'Animation Culturelle,"Chriaa Al Mansour Eddahbi, BP : 1355- Rabat",(+212) 05 37 72 17 02,(+212) 05 37 70 34 23,,"33,973497","-6,874076"
Rabat,Institut Supérieur de l'Information et de la Communication,"Avenue Allal Al Fassi, BP : 6205 - Rabat",(+212) 05 37 77 33 40,(+212) 05 37 77 27 89,www.isic.ma/,"33,983728","-6,864691"
Rabat,Institut Supérieur de la Magistrature,"225, Av. Mehdi Ben Berka Souissi-Rabat",(+212) 05 37 75 39 16,(+212) 05 37 75 49 02,www.ism.ma/,"33,964651","-6,851317"
Salé,Institut Royal de Formation des Cadres de la Jeunesse et des Sports,"Institut National des Sports Moulay Rachid - Km 12, Salé",(+212) 05 37 83 16 57,(+212) 05 37 83 16 56,www.irfc.ma,"33,999155","-6,866296"
Tanger,Institut National de l'Action Sociale,"Rue Hariri, BP : 1168 - Tanger",(+212) 05 39 94 09 71,(+212) 05 39 94 07 96,,"35,774672","-5,80603"
Tanger,Institut Supérieur International du Tourisme,"Baie de Tanger, BP : 1651 -Tanger",(+212) 05 39 94 59 04,(+212) 05 39 94 59 05,www.isitt.ma/,"35,774179","-5,777306"
Tétouan,Institut National des Beaux Arts,"Av. Med V, Cité Scolaire, BP : 89 - Tétouan",(+212) 05 39 96 15 45,(+212) 05 39 96 42 92,www.inbatetouan.com/,"35,571177","-5,383188"










