Ville,Nom,Adresse,Téléphone,Fax,Site web,Latitude,Longitude
﻿Agadir,Institut de Formation aux Carrières de Santé-Agadir,Hôpital Hassan II - Agadir,(+212) 05 28 84 15 24,(+212) 05 28 84 39 87,www.enssup.gov.ma,"30,437427","-9,588247"
Agadir,Institut Supérieur des Pêches Maritimes,Route d'Anza- Aghezdis BP 479 Agadir,(+212) 05 28 84 41 70,(+212) 05 28 84 58 58,www.ispm.ac.ma/,"30,428633","-9,634621"
Casablanca,Académie Internationale Mohammed VI de L'aviation Civile ,Technopole de l'aéroport Mohammed V-Casablanca,(+212) 05 22 53 84 80,(+212) 05 22 53 97 79,www.aviation.ma/,"33,381013","-7,568184"
Casablanca,École Hassania des Travaux Publics,"KM 7, Route d'el jadida, B.P 8108, Oasis, Casablanca",(+212) 05 22 42 05 08,(+212) 05 22 23 07 17,www.ehtp.ac.ma/,"33,547086","-7,649901"
Casablanca,École Nationale des Pilotes de Ligne,Aéroport d' Anfa - Casablanca,(+212) 05 22 91 25 41,(+212) 05 22 91 28 01,,"33,656394","-7,231901"
Casablanca,École Royale Navale,Boulevard Sour Jdid -Casablanca,(+212) 05 22 27 84 51,(+212) 05 22 22 16 72,,"33,605392","-7,624647"
Casablanca,École Supérieure des Industries du Textile et de l'Habillement ,"Route d'Eljadida, km 8, BP 7731 - Oulfa -Casablanca",(+212) 05 22 23 41 24,(+212) 05 22 23 15 85,www.esith.ac.ma/,"33,53943","-7,663946"
Casablanca,Institut de Formation aux Carrières de Santé -Casablanca ,Rue Mohamed El Faidouzi-Casablanca,(+212) 05 22 26 02 85,(+212) 05 22 26 02 85,www.enssup.gov.ma,"33,576858","-7,625025"
Casablanca,Institut Supérieur des Études Maritimes,Km 7 Route d'El Jadida Casablanca,(+212) 05 22 23 07 44,(+212) 05 22 23 15 68,www.isem.ac.ma/,"33,5451","-7,653275"
Fès,Institut de Formation aux Carrières de Santé -Fès ,Hôp. Ibn Al Khatib 30 000 -Fès,(+212) 05 35 75 41 76,(+212) 05 35 75 41 76,www.enssup.gov.ma,"34,047952","-4,997769"
Marrakech,École Royale de l'Air ﻿,Commandements - BEFRA et ERA Marrakech,(+212) 05 24 43 04 11,(+212) 05 24 43 84 12,,"31,617495","-8,038315"
Marrakech,Institut de Formation aux Carrières de Santé -Marrakech ,"Riad Si Aïssa Mouassine, Marrakech",(+212) 05 24 44 21 95,(+212) 05 24 44 14 69,www.enssup.gov.ma,"31,623294","-7,987995"
Meknès,École Nationale d'Agriculture de Meknès,"km. 10, Route Haj Kaddour, B.P. S/40, Meknès, 50001",(+212) 05 35 30 02 39,(+212) 05 35 30 02 38,www.enameknes.ma/,"33,843626","-5,477481"
Meknès,Institut de Formation aux Carrières de Santé -Meknès ,"Omar El Faroki, BP : 267 - Meknès",(+212) 05 35 52 09 27,(+212) 05 35 52 09 27,www.enssup.gov.ma,"33,893899","-5,541546"
Oujda,Institut de Formation aux Carrières de Santé -Oujda ,Boulevard El Maghreb El Arabi- Oujda,(+212) 05 36 68 49 73,(+212) 05 36 68 49 73,www.enssup.gov.ma,"34,676962","-1,914082"
Rabat,École Nationale d'Architecture de Rabat ,"Madinat Al Irfane - BP: 6372 Chariaa Allal El Fassi, Rabat",(+212) 05 37 77 52 30,(+212) 05 37 77 52 76,www.archi.ac.ma/,"33,986699","-6,860961"
Rabat,École Nationale de l'Industrie Minérale,"Av. Hadj Ahmed Cherkaoui - BP 753, Agdal, Rabat",(+212) 05 37 68 02 30,(+212) 05 37 77 10 55,www.enim.ac.ma/,"34,000478","-6,854854"
Rabat,École des Sciences de l'Information,"Av. Allal El Fassi, cité Al Irfane BP.6204 Rabat",(+212) 05 37 77 49 13,(+212) 05 37 77 02 32,www.esi.ac.ma/,"33,982241","-6,864954"
Rabat,Institut Agronomique et Vétérinaire Hassan II,"BP 6202-Instituts, 10101-Rabat",(+212) 05 37 77 17 58,(+212) 05 37 77 81 35,www.iav.ac.ma/,"33,976476","-6,86675"
Rabat,Institut de Formation aux Carrières de Santé- Rabat ,"Av. Hassan II Km 4, Route de Casa, Rabat",(+212) 05 37 69 19 68,(+212) 05 37 69 27 96,www.enssup.gov.ma,"33,997172","-6,864352"
Rabat,Institut National des Postes et Télécommunications ," 2, av Allal EL Fassi - Madinat AL Irfane - Rabat",(+212) 05 37 77 30 79,(+212) 05 37 77 30 44,www.inpt.ac.ma/,"33,980615","-6,867205"
Rabat,Institut National de Statistique et d'Économie Appliquée ,B.P.:6217 Rabat-Instituts,(+212) 05 37 77 48 59,(+212) 05 37 77 94 57,www.insea.ac.ma/,"33,981971","-6,862652"
Salé,École Nationale Forestière D’ingénieurs ,Tabriquet - BP: 511 -Salé,(+212) 05 37 86 37 22,(+212) 05 37 86 11 49,www.enfi.ac.ma/,"34,041742","-6,800427"
Tétouan,Institut de Formation aux Carrières de Santé -Tétouan ,Hôpital Civil - Tétouan,(+212) 05 39 97 10 92,(+212) 05 39 97 10 40,www.enssup.gov.ma,"35,57302","-5,355355"
