region,mc_2001,mc_2002,mc_2003,mc_2004,mc_2005,mc_2006,mc_2007,mc_2008,mc_2009,mc_2010,mc_2011,mc_2012,mc_2013,mc_2014,mc_2015,mc_2016,mc_2017,mc_2018,mc_2019
CASABLANCA-SETTAT,2387.88727037993,2581.53632299348,2682.47161440059,2861.65904922242,3044.46008775084,3375.16236974333,3586.47510715795,3925.42461687999,4205.11226871395,4594.7968879663,5061.13177984799,5466.97049031945,5606.03144475678,5741.03905966088,5685.17050274104,5810.16021869782,6009.32803267866,6394.97500538849,6664.63384642101
FES-MEKNES,1693.76923779633,1728.77396384575,1766.66272919062,1792.39916816873,1876.10302227742,1930.20607610517,2019.475027563,2160.38308959802,2290.81636384794,2451.66689529275,2557.92019177461,2814.80919020323,2837.22596346015,2904.49731678552,2818.2080531401,2954.17730928394,3039.98826434439,3119.64577869601,3199.22059268005
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,1048.86435714973,1083.74834961685,1144.74402062381,1213.22352912482,1232.4953577414,1261.65760603557,1324.43190031079,1366.87029166216,1425.84149341533,1486.41380325775,1531.25152070147,1558.55665876789,1596.56276786886,1638.89326288791,1659.0537257841,1677.21676665961,1695.65887764267,1709.93139231141,1743.0780889559
RABAT-SALE-KENITRA,1335.0727949252,1408.41811687887,1452.45602248001,1540.81076069651,1645.36849039965,1759.61308185547,1876.50390523946,1948.25713112191,2032.43487829852,2084.84579416832,2135.23399659079,2211.66778678026,2282.75237216962,2332.08798559079,2459.72457324813,2489.77599873318,2506.23351207509,2558.69886428655,2621.76061735266
BENI MELLAL-KHENIFRA,811.825138731037,828.003865322063,851.72124054774,873.919385198878,870.677781251462,875.066834827914,903.326677109041,929.903781402269,964.08318405155,978.293314013106,991.437875461841,1006.14032709791,1021.12172457692,1036.38887196717,1022.5195199215,1050.41173276736,1080.02555869161,1104.6838614,1156.19817963914
DRAA-TAFILALET,552.880537652822,562.389306914931,565.695360779231,569.020447182078,573.923993470566,577.302610357815,580.700693819988,584.118351645268,587.55569217499,591.01282430604,594.489857493268,597.986901751889,617.367674537454,637.543750174212,639.038160724354,665.135550827073,702.740325264946,736.439283058065,785.539949988454
ORIENTAL,1176.93534900883,1213.0785486945,1246.35565677521,1284.00166160631,1339.46595481227,1351.8581243111,1388.38227319448,1434.81648557403,1502.18652550385,1550.71861452476,1576.99600957859,1604.1279776845,1634.52984077977,1668.46426789577,1690.53512498808,1694.77642321069,1761.21966737916,1799.69506851242,1828.22843849138
SOUSS-MASSA,1758.72106650937,1900.48939989894,1941.33280921558,1987.08627518041,1985.59184827717,2036.87412388378,2086.26838978333,2160.75629740422,2286.61332625921,2374.91226300662,2427.80279553522,2527.31823373757,2641.31942590681,2692.51405036854,2634.320206169,2664.7738882887,2712.37682319051,2755.81501688047,2780.81824195809
ED DAKHLA-OUED EDDAHAB,1276.12512390966,1281.17894634173,1286.7675930402,1378.25153510708,1451.8572278279,1593.0175156768,1847.71722306033,1959.21550121216,2030.39858849252,2125.12899918825,2202.31272570583,2247.90075169496,2266.13581069403,2289.31435544265,2284.72266183966,2309.75055179957,2400.91049917429,2417.93301228095,2568.97862309634
MARRAKECH-SAFI,1800.70764659176,1916.86317981423,1993.88493711714,2129.96426110991,2182.509692308,2278.78995649772,2411.23950887745,2539.26797719152,2676.74294493,2905.889965965,3087.68834112,3224.0832046,3302.45951775,3378.155907585,3315.846560435,3389.45167039,3435.0347674,3517.21541746,3636.82203757408
TANGER-TETOUAN-AL HOCEIMA,1868.80031050714,1904.96455752831,1972.36604059679,2110.00486239362,2260.84086414671,2465.76259013943,2518.23280711469,2669.75726935367,2767.86650639899,2948.98777835801,3078.26900435139,3170.37073514818,3497.59469792975,3531.04451091523,3462.65422612164,3511.79193107498,3578.92693356692,3738.02402808053,3740.0896246811
GUELMIM-OUED NOUN,844.668666313558,824.596582786801,854.291373858047,893.410679267962,913.390276344408,924.897442403589,891.304455440853,928.349626866024,974.619640315007,1025.42650188519,1037.65232317491,1058.18756243095,1064.47659819338,1100.57869835845,1104.71810219885,1118.61179617038,1150.27177853154,1176.99288768068,1213.45148561097
