region,mc_2001,mc_2002,mc_2003,mc_2004,mc_2005,mc_2006,mc_2007,mc_2008,mc_2009,mc_2010,mc_2011,mc_2012,mc_2013,mc_2014,mc_2015,mc_2016,mc_2017,mc_2018,mc_2019
CASABLANCA-SETTAT,9018.66803717695,9414.22624350328,9621.094344665,9920.34546601863,9665.03081693869,10113.9251280508,10627.3031056451,11414.3751485233,11801.6848007165,12029.3555551514,12311.6658159438,11635.6861231655,11821.6555059909,11827.7133315071,11531.6217919159,12013.7438371092,12188.2381364387,12268.8255483773,12483.2632233552
FES-MEKNES,3268.85322769091,3461.26899972314,4036.34028810926,4694.13533663911,5212.23983449542,5637.99025310168,6119.67964276246,6982.06522686606,7687.45089865072,8171.67615285029,8838.10866083747,8307.80360291708,8330.90865187628,8258.79625514562,8206.49258007898,8467.30857434062,8346.57229197859,8302.23293365608,8059.75747737762
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,1673.1347552,1713.412022,1777.45612459712,1824.6059737456,1951.0677391875,1989.6595597,2084.6376039375,2171.1647307625,2274.6700708125,2413.2873254125,2536.7456521625,2551.54815693281,2565.94587496866,2616.78209796906,2694.90848656927,2744.50182374744,2788.80125460444,2811.79092868122,2871.46482209123
RABAT-SALE-KENITRA,2633.49673191722,2813.04590818552,2998.84624574321,3176.63235398311,3302.53439996313,3361.08424417195,3464.3281772602,3672.82797657151,3837.43317139207,3917.47054441091,4002.5619577175,4133.65044726875,4243.80013200275,4344.28164433982,4406.09981802183,4489.06006021101,4526.67005100306,4581.0852703846,4638.32585639331
BENI MELLAL-KHENIFRA,1194.31718623197,1192.77628179503,1240.02567860337,1297.63521917179,1355.20774697194,1361.70110507799,1373.92984393013,1414.53965917224,1473.6188617696,1549.42037765505,1640.31442965814,1733.44097210799,1750.8246944239,1857.34736513379,1912.44715720344,1960.92642830774,1971.17729944225,2018.91551452,2056.60126505787
DRAA-TAFILALET,803.218367084695,819.472512432496,828.074630077349,836.716841852762,846.060963290091,854.80463535271,863.591520266014,872.422519570842,881.298505426662,890.220323051408,899.188792919744,908.204712747991,933.817125613903,961.075021296142,964.121435460323,1000.3260779,1038.94376837659,1076.13790563244,1140.33860351235
ORIENTAL,1931.73699371337,1930.60831395213,2000.72883966617,2027.07778533996,2017.14585916598,2013.5815799222,2058.4617329247,2090.36156900045,2137.74206705625,2247.74227519384,2287.03452671616,2358.7648780792,2393.29128557594,2419.83685524433,2490.62378543567,2537.81017292917,2612.76924243646,2652.99393865734,2683.84956452163
SOUSS-MASSA,3705.13953319802,3745.83802625446,3954.56106068612,4164.29596905016,4223.64299095098,4117.88285613348,3909.10896696941,3946.8465171679,3953.10050292456,3981.63211866027,3977.36020396578,3906.54518121047,3921.89520618208,3896.50179651119,3728.39462435128,3775.86054190871,3776.90021323005,3754.50069677705,3752.58173046665
ED DAKHLA-OUED EDDAHAB,2196.46384994461,2090.37955382973,1973.79917261083,1904.50860020081,1976.8555917474,2173.02620986295,2303.20564485281,2487.16878398003,2643.1368358421,2742.53358239165,2862.22756430372,2949.26896400968,3016.50081464322,3082.62318894094,2667.62532,2610.06860199999,2758.72706,2906.1072,3139.521208
MARRAKECH-SAFI,3448.03486191405,3782.46568909534,4057.69267658411,4374.38481909818,4687.84093724277,4989.99481636263,5345.58958889233,5684.50933396737,6087.40337908,6621.70702202,6919.99222928,6890.33436687,6937.19527847,7257.72774107,7393.140474815,7572.93074087,7744.968805555,8013.52655226,8274.55537505638
TANGER-TETOUAN-AL HOCEIMA,3162.05342291622,3310.41681099158,3594.40121925288,3923.78032705938,4000.16766558591,3972.10052773906,3755.8650302575,3974.44634682944,4018.88002334833,4322.94890181344,4622.69428219996,4866.59323442467,5111.96780849118,5358.10557888698,5362.83793798804,5512.23604435007,5707.46983993428,6123.55721861792,6185.37570008256
GUELMIM-OUED NOUN,2362.15398619748,2343.1220051843,2284.99283708535,2208.77403912603,2222.91051368873,2236.2087188625,2199.28629013085,2178.48356197762,2158.93402124037,2203.8422544952,2235.30442920354,2235.03189750542,2256.00199656505,2351.58,2410.62063123655,2398.57420572431,2393.41918483623,2423.78320918794,2445.77724443093
