region,mc_2001,mc_2002,mc_2003,mc_2004,mc_2005,mc_2006,mc_2007,mc_2008,mc_2009,mc_2010,mc_2011,mc_2012,mc_2013,mc_2014,mc_2015,mc_2016,mc_2017,mc_2018,mc_2019
CASABLANCA-SETTAT,2406.73639418876,2483.01995233829,2588.00987956927,2683.90221235736,2743.02503390376,2845.05352422914,2934.31131208178,3072.22296503561,3226.65494586925,3351.14893182431,3533.915596655,3728.47001880051,3819.30515132418,3891.70315682306,3800.75422260213,3821.35855415974,3867.39938186915,3945.48163495625,4012.70224247849
FES-MEKNES,1471.0440674402,1508.23877938822,1491.40438753611,1458.86257044082,1498.18465215832,1558.41413604671,1600.96330923319,1684.03633037441,1797.25663459433,1932.16029162382,2029.35954624576,2285.04393791415,2259.19460052753,2241.51447031722,2164.09248402047,2330.10475787068,2386.58037145249,2428.80225899,2477.62849313193
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,991.62978703252,1030.27738854125,1060.94242796938,1098.0533140039,1098.88232362826,1122.0753664678,1189.31208591774,1237.13100469735,1301.82520740189,1367.64280509564,1418.9580457854,1453.61471363385,1489.77895922158,1528.04129368324,1578.1003253265,1589.20554279145,1609.35920234827,1625.34346856954,1659.6437659835
RABAT-SALE-KENITRA,1406.89011057619,1465.501628551,1526.74284558527,1545.51288126461,1607.89027733379,1678.16866293261,1690.39804213175,1744.0286487236,1792.41943919707,1821.18775643569,1848.52421891182,1924.00061729727,1979.45912057413,2034.62072896193,2124.27821125568,2193.07221019495,2227.09293954175,2287.32903857606,2374.78588361549
BENI MELLAL-KHENIFRA,887.347961183369,915.126164549162,948.093247283178,962.174844565395,929.504488215371,918.094083591518,926.756560846326,945.221158257649,964.959256024819,979.28820206896,995.937399436875,1013.25180002925,1032.23668253934,1050.46072191959,1039.85167373731,1076.77001876899,1115.48693876834,1152.91104770516,1220.2086743082
DRAA-TAFILALET,560.953581991913,571.495016849741,575.480571492425,579.493954984777,584.734625161917,588.79866864815,592.891015171751,597.011862789646,601.161410953923,605.339860521734,609.54741376527,613.784274381807,624.491638042007,636.857595832191,631.726220706832,648.268552082106,673.030466878487,691.72774792505,727.933885010009
ORIENTAL,1007.62631569673,1013.10603270632,1039.06919768935,1065.74407719444,1105.89566257286,1124.8593896528,1178.57854864881,1227.78293263853,1275.73547617754,1307.77490642952,1322.90234356179,1341.17716374302,1357.50648429947,1369.05822807194,1379.75187441513,1451.39182229098,1512.14457665758,1542.7428491907,1574.54034344733
SOUSS-MASSA,1918.05015695202,1885.68360372514,1816.13664604908,1760.73706411414,1704.77431634145,1728.08552404133,1745.68591692249,1776.88402848991,1864.16355188418,1928.52906026916,1926.68749917078,1965.9005631472,2000.70363071338,2044.58286075115,1968.93693752887,1985.49863484372,2001.40662214693,2020.68350806991,2029.23844816813
ED DAKHLA-OUED EDDAHAB,1062.42028766236,1087.12839945629,1107.27323113406,1139.53026491928,1182.63729727407,1317.97903343116,1394.98103833262,1472.8880202082,1558.18508085377,1558.401066551,1569.87685934468,1577.53557885642,1620.92022621008,1619.78079044052,1620.34198399718,1627.9443307069,1717.90085473315,1805.24335748759,1994.51194031926
MARRAKECH-SAFI,1725.84412393541,1827.6782650214,1926.99565489038,2044.97890295026,2117.89952292021,2209.51314922649,2300.80744033865,2449.47261592918,2598.29927481,2760.98273425,2921.64301076,3074.486147535,3155.361865365,3247.364773905,3228.763635365,3273.90337488,3330.94972273,3444.32362162,3576.63267900937
TANGER-TETOUAN-AL HOCEIMA,1610.11519540472,1702.36383911927,1808.39031596096,1955.07196797374,2117.77256631829,2285.34532498983,2456.98390057547,2634.04671116912,2727.74836244511,2637.78951513769,2583.5558142834,2566.79891612025,2726.40234304985,2679.69145273188,2628.22080436071,2642.65678703871,2720.7528239843,2796.13380422493,2820.2987464162
GUELMIM-OUED NOUN,970.011608309366,999.155891855104,963.300992296951,917.221051022648,912.984930499105,908.444588678836,916.262456444903,962.760164523644,1018.77410436845,1062.89751038608,1070.82246350494,1096.39291973272,1108.86109378185,1161.88108580088,1194.73573130079,1218.3541135847,1238.31099535321,1258.80881028109,1291.84152662745
