region,mc_2001,mc_2002,mc_2003,mc_2004,mc_2005,mc_2006,mc_2007,mc_2008,mc_2009,mc_2010,mc_2011,mc_2012,mc_2013,mc_2014,mc_2015,mc_2016,mc_2017,mc_2018,mc_2019
CASABLANCA-SETTAT,7399.20769085226,7801.82997867392,7852.63897282027,8333.30760479609,8319.23548265729,9265.70290612306,10298.8496877416,11341.7760580809,11884.7201577394,12007.5783585027,12414.3021504246,11992.2362963362,12243.357655825,12384.3603905044,6987.83918993344,7105.05653890953,7219.81684466858,7396.0264134449,7558.23327239204
FES-MEKNES,1840.52515172816,1907.91060073233,1977.03178582285,2025.91442709931,2162.44318500664,2219.17595771129,2316.59514259518,2496.57919628739,2676.94361459609,2872.28224108904,3062.76421649062,3339.36480805447,3252.05087841938,3251.03600141809,2970.86416773441,3126.41312536369,3170.57017417104,3214.66716775583,3240.80258559844
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,1119.09478564556,1157.69889793499,1206.53320854362,1260.38266470069,1276.62028181164,1304.24478384389,1370.37526656106,1417.53374406112,1481.72340654832,1548.08078792327,1599.61295394423,1624.45160064702,1662.20656390459,1703.95692187452,1748.80481772182,1763.26916164151,1783.51246136712,1800.52654297366,1833.13141980065
RABAT-SALE-KENITRA,1864.86617753808,1953.12772472425,2038.77915836401,2132.81881952288,2218.55004346696,2332.70874854812,2419.90633728135,2503.79681291102,2589.00543036221,2643.75900410353,2694.27479486077,2783.15378910592,2862.10845052677,2931.12212683474,2914.89447676363,2988.32298399388,3013.71649994193,3071.52672293179,3152.15080529517
BENI MELLAL-KHENIFRA,861.979885063583,884.742662900593,913.649065299673,932.753117033414,915.960766357225,912.793581775033,931.625922239996,954.956542109555,982.228259684653,997.467094811782,1013.05773189642,1029.49401831727,1046.67094494578,1064.37228106916,1099.50270970705,1136.36183384605,1172.56136524586,1209.21417119959,1273.77898188447
DRAA-TAFILALET,594.509558572334,605.248375929722,609.910265944448,614.413242974888,619.238895826866,623.785697056034,628.558688966363,633.368561313299,638.215616337567,643.100158185668,648.022492963614,652.982928787455,669.511347525777,687.409454392955,660.440202941447,678.518235918617,705.116564407204,726.070957247989,764.836390961629
ORIENTAL,1198.89524327374,1215.65553285599,1246.80810002196,1276.07890246925,1325.76829758263,1341.36858929838,1389.17685300971,1441.46685171839,1501.08086862227,1547.39882930634,1569.30444375112,1594.76962155772,1618.00495486275,1639.96606179177,1594.50994175758,1645.16753023602,1708.07037502878,1742.59642453167,1773.11991497257
SOUSS-MASSA,2200.16024192533,2266.20920850702,2254.38287379912,2266.92233233848,2257.40950043751,2303.1412208554,2349.68957469201,2411.21434034314,2487.56368660331,2559.84427445858,2589.16666384938,2659.12216119336,2732.42528586816,2774.71231649552,2487.98288266275,2511.45518796965,2532.99182823182,2555.6633155747,2563.57796401345
ED DAKHLA-OUED EDDAHAB,1242.18670217762,1255.66032880783,1265.01345168703,1322.08228645016,1378.15887119828,1518.95209403441,1684.80559650624,1781.70867417046,1861.23384116516,1911.74192427839,1959.85541042709,1989.59370300044,2022.01473491546,2035.84092249917,1784.41427348102,1793.15336362284,1886.98199690824,1968.59577937141,2156.01073857407
MARRAKECH-SAFI,2124.62721398406,2270.3928877338,2386.98158537394,2568.31557494459,2655.73087716847,2826.21582732907,3035.31145946323,3236.58126014455,3430.37022793582,3632.24322273738,3839.90062404713,3976.32788582602,4056.1589644046,4168.12156383005,3933.81316795036,4001.72557935221,4069.06005185829,4191.57870875867,4336.68912392056
TANGER-TETOUAN-AL HOCEIMA,2243.90015336012,2316.7233291141,2415.29436457501,2555.55303563062,2707.20683027448,2869.99903989755,2932.64050352693,3088.23733295935,3169.28572069961,3258.86341728124,3340.126908899,3389.29459023239,3645.60425202976,3681.17963093929,3545.55891816229,3589.80965521041,3687.67464575057,3847.20882161136,3872.52831135068
GUELMIM-OUED NOUN,1042.73615495231,1045.99563393487,1042.91418642955,1035.35319648481,1041.10499369316,1040.47389330541,1028.0467023033,1070.86354960229,1125.01614784641,1170.92360148746,1182.89640993045,1206.26100011508,1215.73050784249,1260.7613157296,1272.0788823072,1293.70214852553,1314.72568088476,1336.29774955029,1369.35680158347
