region,mc_2001,mc_2002,mc_2003,mc_2004,mc_2005,mc_2006,mc_2007,mc_2008,mc_2009,mc_2010,mc_2011,mc_2012,mc_2013,mc_2014,mc_2015,mc_2016,mc_2017,mc_2018,mc_2019
CASABLANCA-SETTAT,18862.1754446294,19938.8633669264,19917.5254238307,21474.0915005877,22040.0984875903,25121.0966054462,28709.7969333144,31994.7991015567,33783.050224463,33866.9375168858,34883.0221452929,33415.2445583523,34122.6664134689,34612.9092036873,26094.1669764985,26026.0264654818,26180.6072662537,26401.2775115874,26728.6699827158
FES-MEKNES,4704.93216381513,5086.91652548991,5616.15707458515,6046.47184625956,6624.61286239862,6585.87794762251,6907.77771616941,7525.29481213596,8185.41244188083,8769.55241518991,9594.33247812188,10253.5247914399,9373.03489880127,9154.31894275601,9513.55649368612,9639.92730091462,9468.25506372815,9418.10741835522,9163.88933447744
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,9586.03125,9802.072575,10126.2495,10349.16185,10651.428325,10794.5268,10942.7953,11104.33575,11327.04155,11543.2829,11751.13085,11202.2842094931,11399.6076887611,11574.5744702098,11165.3959209009,11201.7321879062,11186.6522957333,11209.1154817468,11241.2768386762
RABAT-SALE-KENITRA,8080.71102088662,8379.6437211875,8865.85181069366,9380.58303440105,9521.25463504905,9912.65439000384,10248.3607345851,10585.4433516549,10875.1532632034,11078.27533292,11231.1315122045,11475.197028645,11747.1467011311,12019.2233012012,11138.6842877955,11381.9590255829,11359.9283605988,11437.450012947,11583.7971116181
BENI MELLAL-KHENIFRA,1828.83901626499,1938.9924829812,2018.80079390062,2108.45914174389,2145.04708354783,2169.34250358533,2220.54473391832,2309.39866598061,2343.25134490818,2407.94262467226,2443.24325215081,2451.82927798206,2473.95123590896,2530.16318799711,2434.80693619249,2499.57056797475,2515.00896396,2581.619836865,2665.6679750188
DRAA-TAFILALET,2157.50071473491,2196.08931525247,2242.51305190778,2280.07023984784,2344.2935338007,2382.9790824193,2431.81460380134,2481.26406848641,2531.3340342099,2582.03112320617,2633.36202281218,2685.3334860764,2763.91794578464,2850.60665772271,2641.75243730991,2698.0104449,2778.17555269355,2840.10494269067,2969.74509202393
ORIENTAL,3731.60958748736,3695.39997675135,3758.77357122776,3759.37045832842,3708.0715657377,3725.72954551009,3827.68520151269,3977.77217974107,4104.33543708859,4257.08702665753,4310.39362198408,4386.54234543111,4418.1118548859,4438.72737119144,4686.10595512822,4682.81423114527,4779.13442136842,4848.84861626693,4874.75234212125
SOUSS-MASSA,7522.58199143392,7832.59270697623,7723.7148753806,7913.37196733304,7992.96731528901,8259.84943801368,8684.40127806115,8944.38015090942,8556.67868633533,8588.01714764752,8654.03843603841,8784.40116169747,8808.47914646188,8760.67022124759,7983.3397345215,8063.49304222175,8083.41537628707,8123.11536107161,8077.07805366126
ED DAKHLA-OUED EDDAHAB,4792.57069600524,4868.72286237569,4812.26448327687,4722.41976868312,4611.39200366021,4850.54896421191,5069.81353103457,5200.67503779454,5267.11153789709,5454.35499406659,5658.30228864006,5817.84346852202,5910.86077806716,6040.19875166701,6012.54828471262,6189.25649090633,6469.9554809937,6759.86277324704,7200.3775322819
MARRAKECH-SAFI,6434.90996331795,6963.18640413139,7381.28063353599,8201.17625012446,9001.70275256855,10128.6122198589,11551.5596199679,12531.8000697765,13305.51707108,13431.182118405,14097.53286882,14249.20178176,14372.152268825,14749.49274622,13868.317028515,14027.35810775,14199.255083735,14478.170463595,14774.6950534672
TANGER-TETOUAN-AL HOCEIMA,7655.97815280331,7629.95649741401,7511.1869827376,7204.41235258273,7139.66999775143,7509.70527284387,7728.20990803177,7647.75709992121,7592.29762073235,7756.57435276375,7933.72640867547,7672.03978272449,8170.82974019011,8226.67918503073,8263.52405628797,8344.1055863102,8543.02739651703,8729.71632525307,8839.62260170188
GUELMIM-OUED NOUN,5364.86640974737,5331.55615951984,5372.81960760979,5253.89355706257,5091.66774901557,4957.55493459134,4972.31684589591,5107.48766114652,5315.80033420916,5331.24777235558,5405.53074285023,5463.08741538872,5473.56368870824,5538.06030350796,4995.32832579753,5002.41690345794,5044.98437486633,5088.53018812362,5123.00543303041
