region,mh_2001,mh_2002,mh_2003,mh_2004,mh_2005,mh_2006,mh_2007,mh_2008,mh_2009,mh_2010,mh_2011,mh_2012,mh_2013,mh_2014,mh_2015,mh_2016,mh_2017,mh_2018,mh_2019
CASABLANCA-SETTAT,873.428949168081,906.405592451893,909.003673094973,937.040851134174,975.907883428527,1007.03310149791,1041.87340037165,1108.36028292786,1159.8653244273,1235.6922268563,1296.04930481956,1321.59661687485,1360.85975336634,1384.5898259563,1375.88165518336,1387.53138877782,1410.39842169664,1452.24925562511,1482.51936933787
FES-MEKNES,584.5026385624,555.694063007363,533.641963548709,518.830223284708,521.803254520869,527.201255393213,550.382079484082,586.443042484897,624.894366167717,666.804962770539,698.702848619289,718.682037691415,747.149855561127,767.342300663237,764.016688186502,788.540462913838,811.347814564396,826.219940030214,843.760924266173
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,422.742127993151,434.134965632189,454.667218407034,478.922746798315,486.519909772255,494.966091654403,516.704892687886,530.258232134255,550.298803714193,570.672996928561,584.861965231148,588.597229736157,596.976401879657,606.872389052573,605.589696693568,603.319838982755,605.359037226243,615.863008228114,603.486278313118
RABAT-SALE-KENITRA,538.523709050793,553.11641348527,568.556561323112,602.509776897177,635.951037584504,682.132656614365,718.141114380903,749.473052776446,790.864930090807,815.760343793765,849.931772178158,912.711919478947,958.844698744259,1008.34111028016,1092.04261258512,1119.96048995154,1149.53824592072,1194.71545910194,1246.44877053281
BENI MELLAL-KHENIFRA,529.043079489313,538.933511389027,553.713343473229,567.287435303575,569.096993213633,571.250406825095,588.971135386787,605.079445560452,626.492765627426,634.965450404259,642.619590152649,651.379755663791,660.30445520093,669.397671053335,660.132149751933,678.555289759302,697.683794738791,714.76525494,744.21849583003
DRAA-TAFILALET,345.574133389417,351.790160063834,354.153821469358,356.532509780144,359.951681998679,362.376074901555,364.815903637139,367.271260927053,369.742240007321,372.228934630847,374.731439069892,377.249848118572,389.765657074344,402.804563726559,403.240127345708,420.373388729245,444.601461803812,466.199618445401,498.922636071674
ORIENTAL,566.471904710161,593.801620652237,608.69555061545,625.30789754698,636.785404231988,644.039500943516,661.754915110763,683.557479951558,712.364374827714,735.951111566368,751.434789626038,759.467877897317,765.806048219092,774.574785266218,784.352130492486,801.001526277542,831.561162484315,840.504856418548,855.173793559414
SOUSS-MASSA,840.603825184925,902.106989612634,915.027346334241,929.281909244128,910.01665166361,927.849934161374,944.971636127821,971.898076743184,1023.60114057991,1069.42417323543,1178.9112933314,1223.73131452321,1297.04590747452,1367.68747659028,1343.07206266034,1381.98802998167,1433.72625835571,1489.28318274023,1527.27238593206
ED DAKHLA-OUED EDDAHAB,422.378943329948,420.411571845642,422.837379288358,445.569262043373,467.471791367772,514.909903226869,567.522151853915,604.444971643564,649.138892482277,683.302199402829,718.508686426066,755.369343806119,773.078088820438,788.735843687766,817.13631880171,833.76306267476,863.683252525249,840.97970523244,902.410324576717
MARRAKECH-SAFI,881.335937628682,927.779364197512,957.540501328864,1006.45140958345,1025.19812354586,1059.19478610692,1105.9221675146,1149.87556918157,1197.91853807633,1287.494614925,1355.3590565344,1414.18334990304,1422.96166294695,1466.29894047888,1440.30371185222,1454.55541886,1469.982541375,1491.529103625,1527.41250318401
TANGER-TETOUAN-AL HOCEIMA,927.478076052108,1014.84382087633,1094.07347869137,1166.38875890843,1230.23113802907,1275.71772276554,1308.00146471653,1307.23616933878,1353.05330438931,1389.48944720167,1337.81922594302,1353.13306662074,1337.88902187011,1294.41783145552,1301.35356154076,1294.21257312457,1299.68350888391,1315.10580716183,1307.37586599466
GUELMIM-OUED NOUN,429.327411210754,422.131242338521,438.7581745116,460.598689510128,474.375779380701,483.628550392225,467.669371860202,491.364572734244,526.026969834644,555.459845982341,562.727838548202,569.549336092256,576.093966084833,623.046758636554,626.460286272226,626.335818007456,627.939665190414,628.823019106525,634.006513808839
