region,mh_2001,mh_2002,mh_2003,mh_2004,mh_2005,mh_2006,mh_2007,mh_2008,mh_2009,mh_2010,mh_2011,mh_2012,mh_2013,mh_2014,mh_2015,mh_2016,mh_2017,mh_2018,mh_2019
CASABLANCA-SETTAT,2707.21728520397,2766.35097656865,2918.39394550631,3111.01772250052,3105.71102249378,3384.26393082034,3562.06452384577,3814.06644331226,3994.1807122363,4184.59232033597,4350.62230444764,4330.98030205004,4481.02113853191,4609.93253039542,4434.84902175884,4535.44757968715,4602.70956514474,4727.27579789119,4805.03626634213
FES-MEKNES,2100.28019352369,2045.30661978164,2106.12487623683,2475.42652403955,2607.31357009494,2700.80675115743,3122.13219331869,3337.78346537126,3685.05832222295,3856.43527560995,3922.45109127424,3804.20907135274,3784.71267440592,3810.45321717134,3801.60157969862,3869.39635231551,3874.3137529077,3875.19387402165,3733.56872471668
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,635.469492215719,644.963866963092,663.386653003206,675.446753447833,721.64949761678,729.075252924913,758.227949010793,782.828582832562,813.484117582544,856.17118961784,893.397098151622,892.202410680564,886.014524381903,895.742234029636,919.823247891818,929.595823622517,940.921782983296,957.76417056536,953.945341030901
RABAT-SALE-KENITRA,1372.37475832428,1412.24500168864,1498.87024209003,1617.08446632785,1686.46305417538,1797.68774494649,1897.47014280441,1997.6118732011,2090.31087506234,2184.25444317405,2240.3440242625,2374.924092235,2458.59792521969,2539.21890930191,2601.73828913636,2651.86319404852,2672.76118941508,2708.69539843119,2748.01840143945
BENI MELLAL-KHENIFRA,700.588899085447,705.48659321605,735.881255249615,774.145894322989,812.924233731019,821.726006213088,835.90761541265,865.617662856971,906.942913209546,958.991834119633,1019.55055884406,1081.78718291492,1102.33684492785,1173.12672024433,1223.42858607611,1259.89855970279,1278.15605969,1309.515249735,1349.91423639821
DRAA-TAFILALET,516.82597376493,526.173250058041,530.549571280766,534.930055447822,537.925378415054,542.32730545819,546.735290345386,551.149783294428,555.571211912713,559.999982924166,564.436483726233,568.881083796739,583.696951976735,599.468173445776,597.531121334509,617.1913879,640.088270701587,662.909993307438,698.56137798335
ORIENTAL,996.911959937732,1018.62427569071,1051.73943999318,1065.32855912729,1045.72326728244,1046.09713938962,1068.9061619596,1085.75253462837,1110.86375525521,1168.78483876168,1201.61686410763,1233.84363908286,1255.75710402509,1268.73416786259,1307.42061616993,1328.33219893743,1376.27060227715,1398.7849616106,1414.15880029943
SOUSS-MASSA,1498.05812027749,1550.57746624373,1675.04018751085,1806.13836219714,1833.75115793761,1821.12398788977,1758.07204608841,1813.27456290391,1840.74600505184,1878.55312597653,1887.50266735845,1890.19806133384,1906.99227678015,1935.33094749441,1899.05350307627,1913.37836011343,1917.32247705782,1940.31765527073,1930.99551421448
ED DAKHLA-OUED EDDAHAB,697.75,694.8806,705.418659518962,698.109271112621,728.895319832627,806.13812454998,877.064005591217,952.904632137952,1020.31624522097,1078.72771503512,1138.65177604389,1201.63608345288,1219.73933764002,1241.52220792808,1107.11044947362,1085.80730283427,1146.602372,1202.049898,1284.240868
MARRAKECH-SAFI,1771.44733715228,1889.32228501682,1965.01102568426,2050.17403463166,2115.02265969166,2178.41381226131,2258.85835089815,2322.63867336615,2405.58399636762,2520.9548816546,2556.80055581761,2252.00025221379,2273.61604101908,2209.8643500478,2124.59399343,2121.577036595,2030.54676922,1992.514764765,1948.22507873769
TANGER-TETOUAN-AL HOCEIMA,1836.29096789521,1843.69941092544,1972.84254461246,1970.89778313247,2031.62128987729,2051.28286536186,2071.89606150903,2077.38203562362,1951.7841010437,1916.14215913828,2050.48328557445,2067.20949503586,2003.55674761481,2019.51138225561,2040.05034089188,2083.57757999178,2121.25271978359,2187.6428244903,2211.7549854727
GUELMIM-OUED NOUN,903.820914880262,925.029494793849,931.811478639227,928.912841805739,960.383110779555,992.807109522318,1003.8221589073,1037.17815803247,1037.90743172551,1080.5814510582,1127.50300442478,1170.45506616052,1181.34887881065,1258.1825,1294.01,1265.2087,1223.98913021895,1203.39918593489,1177.52175055854
