region,mh_2001,mh_2002,mh_2003,mh_2004,mh_2005,mh_2006,mh_2007,mh_2008,mh_2009,mh_2010,mh_2011,mh_2012,mh_2013,mh_2014,mh_2015,mh_2016,mh_2017,mh_2018,mh_2019
CASABLANCA-SETTAT,772.923506856139,799.180288999554,833.48508193707,865.885946834619,897.208316623051,928.090529126515,958.929557844342,1004.6683293656,1056.64323855964,1098.51241321983,1158.06308761193,1189.24896096323,1220.43705896381,1235.46681940972,1219.49507776734,1217.93731904333,1224.61625138903,1266.95686665759,1286.3784805989
FES-MEKNES,436.939281869721,433.49829999735,430.869024084408,417.297092491675,409.5329188538,456.366518435052,509.88301599471,578.145260203885,616.383045359956,659.839273542445,723.507802912569,690.551227392575,726.399842829671,770.786178930041,792.106049675815,843.447048253442,857.014424225706,882.454031756378,906.921204453105
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,391.812398326531,404.767018594318,415.360768615285,427.593773487328,429.100522415638,435.618862451165,459.431357479887,478.658764992323,501.665079187301,526.668404248624,547.14295227368,557.94175505824,572.695721276119,584.558198560206,600.952078764209,603.223807198681,610.629442628171,620.197344098486,626.334456867753
RABAT-SALE-KENITRA,569.297189566905,601.532525880167,615.449463808342,615.352319539011,625.020436515635,665.646893864962,688.759035155773,727.061912642673,762.727993233304,778.637751135419,801.003237050455,854.844658374091,886.353246889021,919.533921216056,956.390280334049,988.569275692693,1007.63721654133,1038.17725966183,1081.62083900092
BENI MELLAL-KHENIFRA,518.801556453673,536.769971655342,556.285530144441,567.421888283442,563.181988336383,560.254782034008,569.311408398746,583.721039759588,599.182982410603,611.698425800845,625.987486385572,640.838181685175,656.977818803981,672.648208440867,671.721772196636,699.072918433714,728.439040925,753.865504944163,802.134035631321
DRAA-TAFILALET,352.342125172827,359.120208989469,361.786539655996,364.47226712279,367.779166014053,370.51697049032,373.274729410563,376.052586668016,378.850687189311,381.669176941898,384.508202941527,387.367913259773,394.315099089813,402.314657633827,398.923386406858,409.554515841609,425.040351870262,437.022882981308,460.868876857498
ORIENTAL,525.926773773552,537.287274065022,549.79959164485,563.318721127078,578.006854759014,587.118993531403,613.678192420423,638.281058453785,662.62291012691,679.606135856071,687.800904318405,700.607962531962,710.149215066427,721.213172327271,722.288219905964,760.709007834541,781.096616470981,791.940811772502,805.379660375935
SOUSS-MASSA,562.595135740721,591.160069385981,606.500467205188,624.504255623639,633.865392231438,678.906015310159,723.475706466162,775.598913281911,851.321091800673,919.403107983056,937.030650525732,1010.17338354417,1064.70526368906,1108.79533386215,1088.29642041187,1114.33113189958,1143.72776851938,1180.96081278841,1207.00235210329
ED DAKHLA-OUED EDDAHAB,370.20405787537,398.820740289329,425.593582167472,456.453554697887,481.949013730944,533.288511216374,573.957361190509,612.772493230102,657.340478363241,674.965266575934,692.741325722938,708.515131833424,725.219977849915,744.779999936819,747.878715017195,772.149900362802,837.695043706016,874.354216522266,956.068596700932
MARRAKECH-SAFI,669.21343652246,704.048088847154,744.623654693257,789.482122655465,822.929253787382,857.107507447219,888.985557863973,943.1375438,991.54423082,1042.974442615,1107.621908596,1174.130480935,1196.73444656,1230.6689132013,1232.454853225,1259.356410885,1280.29214166,1326.02633146,1378.72032318954
TANGER-TETOUAN-AL HOCEIMA,852.424870754699,912.591400923209,983.177745516608,1025.39580269841,1082.03447505268,1115.73287718604,1155.0085104238,1246.56487809485,1178.96056918093,1252.95229960892,1246.44606019687,1254.3891335054,1244.0221617004,1229.41768834821,1236.84243420823,1236.84339388436,1239.88666031624,1245.0681053766,1246.77417480511
GUELMIM-OUED NOUN,325.698246698079,337.810111034746,330.194957633623,319.74234525523,317.371157446787,320.036583235326,326.955383099693,342.397527192056,361.446290123744,374.508678447592,364.477779375484,359.304011311554,367.094222554222,397.70497110117,415.088553182669,440.496681762588,465.582936372616,490.129559926413,520.057256618558
