region,mh_2001,mh_2002,mh_2003,mh_2004,mh_2005,mh_2006,mh_2007,mh_2008,mh_2009,mh_2010,mh_2011,mh_2012,mh_2013,mh_2014,mh_2015,mh_2016,mh_2017,mh_2018,mh_2019
CASABLANCA-SETTAT,1967.00688684201,2061.68864663922,2107.69910289833,2227.92351508284,2236.12124533834,2454.55276486467,2660.07211515446,2892.40990847959,3052.77749813545,3106.60532924935,3214.52069881575,3119.60500743849,3197.87566762688,3245.85515699291,2098.29179100337,2111.2148360188,2132.31499251816,2190.78823592251,2224.81850317559
FES-MEKNES,658.542671148885,638.045843503762,638.20486558606,633.296694653891,647.267849137221,679.77526208615,738.640043799495,803.939415746918,859.597233558558,922.167859374442,981.641333632603,977.008559852601,1005.39420731699,1041.71994232951,1037.00670776172,1084.31726068466,1104.80993360299,1123.19816722846,1136.44720786705
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,447.135052501131,459.441355650748,475.632588391918,493.702458769968,500.060600013557,507.42762155951,529.942585055499,546.305935801952,567.969363192697,590.995447487363,608.765127034447,613.245993590044,624.283794895309,634.931587044684,654.719008243463,655.973402828726,662.014943933396,672.390935234643,672.202449786086
RABAT-SALE-KENITRA,768.083018594206,801.948003559705,838.67074832591,875.014594721994,897.591832454626,944.766184040523,985.031086342379,1031.98083293989,1083.24439937361,1112.7900268195,1147.56819604638,1219.38469281945,1267.11092253946,1317.21410194376,1346.85407719037,1385.93176633923,1408.85096445103,1446.04912457595,1494.18474483944
BENI MELLAL-KHENIFRA,530.979694152859,545.429760491948,562.98118204482,575.984312134574,575.584050357613,575.484870445988,589.179601913151,605.025609659993,623.742628294696,634.947379494638,646.423128069109,658.585968166678,671.34151519398,684.414007301452,709.754296381142,736.389621981829,763.508145672554,788.367652109364,833.587836889888
DRAA-TAFILALET,375.710829250958,382.565117254515,385.632753952985,388.587863656922,391.544403746155,394.53878493572,397.682728840154,400.847787285286,404.034091591473,407.241773314823,410.470964273766,413.721796573149,424.270509801013,435.69080077583,417.489499683125,428.975554691933,445.683306130858,459.10045490083,484.272691682299
ORIENTAL,588.662191064921,607.542043479727,621.977350343572,636.074719988611,650.652051835245,658.906335602943,682.270341331818,707.537029433824,735.408095267141,758.721988965705,771.51268938097,783.887642052227,792.696211128938,802.970447929745,798.028103367492,830.321664920454,854.592105664461,866.458264123448,881.129997404818
SOUSS-MASSA,853.628881274196,905.974976395463,924.32415861263,951.301177547907,957.199862392959,995.891307910247,1036.87362481878,1084.76163361015,1138.33589504368,1196.65888040698,1242.4944720836,1306.21399364541,1365.92736550058,1414.48684791643,1312.96026032239,1340.58350201658,1371.35150256108,1412.84973000169,1433.7386593664
ED DAKHLA-OUED EDDAHAB,421.046690968881,434.643164222293,447.179388430868,473.164507084173,496.866358246063,548.258308444123,596.562746293374,636.132039812711,681.847231106157,709.976971776185,738.771260630432,767.522971674128,786.670769087625,806.411451744971,787.280917374775,809.779833718345,870.136176875509,898.698838927475,978.365532060003
MARRAKECH-SAFI,954.015713292011,1004.01711691568,1046.28276513341,1109.94396332665,1137.70172147055,1193.81099765537,1262.40735602112,1325.44298421412,1382.14680813555,1444.02622424287,1511.78980166604,1518.33089878382,1526.10665388154,1551.3444934787,1428.69678911038,1451.05468378482,1457.15641696757,1488.06200383771,1527.10336924617
TANGER-TETOUAN-AL HOCEIMA,1123.5668027546,1179.90938994395,1271.9668489409,1326.72401754498,1387.95384893107,1430.49707333609,1467.02737676121,1520.80599009555,1494.63604171321,1547.10952229475,1537.50503947964,1542.21085617506,1519.77054116424,1494.73689602163,1498.33203884377,1501.37781145485,1513.40255318051,1537.59311432025,1539.93373828206
GUELMIM-OUED NOUN,457.151492601751,460.331981959157,465.599683150736,469.996436032897,475.84310824477,480.542112956385,475.108292861907,499.584609997322,533.153989159463,552.479309955375,552.938774862415,555.465247469688,562.583394876913,609.893076798168,509.007937310066,530.154409921893,551.06138272873,571.959229833783,597.879633131487
