region,mh_2001,mh_2002,mh_2003,mh_2004,mh_2005,mh_2006,mh_2007,mh_2008,mh_2009,mh_2010,mh_2011,mh_2012,mh_2013,mh_2014,mh_2015,mh_2016,mh_2017,mh_2018,mh_2019
CASABLANCA-SETTAT,4576.78202067787,4878.70809281897,4943.45962256994,5252.743340928,5445.27087068258,6065.14507850885,6748.78249952045,7447.65238855363,7956.83993755432,7974.17530230953,8229.3358760216,7881.26609493741,8021.96464388294,8106.59455820899,6857.12213760517,6799.80096627793,6821.1214035216,6900.92660947934,6975.20665818213
FES-MEKNES,1836.11588489343,1780.34626382472,1869.26870789334,1854.94118418996,1953.5629843844,2018.29875022228,2180.7550005726,2329.02976053401,2470.24001991385,2703.11805896429,2873.84344772518,2908.36232109126,2916.67612489954,2994.10082256778,3231.79946776872,3356.35801659293,3446.35181773469,3431.86712324738,3460.04389683266
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,3976.95123823416,4006.64194345922,4082.42212428335,4112.77625101964,4169.95841544978,4161.77997999176,4154.95273005919,4151.6363674377,4168.75223903597,4180.36759711149,4187.62521207908,3922.65627046094,3927.77709811385,3914.3169777444,3847.14669508945,3809.74716484277,3798.08583062665,3847.54667219729,3733.90119849683
RABAT-SALE-KENITRA,2670.85545274482,2843.39240104064,3075.83562124038,3215.22105938775,3243.70889976769,3263.5583035337,3361.42537235462,3508.9551415773,3687.90976330639,3725.00519664901,3802.11692610227,3976.20738119318,4101.81953800532,4230.37773621791,4145.37553344888,4261.26370367744,4292.5257666706,4358.08897214638,4449.88767043364
BENI MELLAL-KHENIFRA,1072.24199013943,1141.68578574781,1195.4515058323,1256.41554401213,1300.00114000336,1323.15672866138,1362.58581046937,1426.01294528289,1455.9559920101,1506.91019032532,1536.11056756798,1550.76017919034,1573.44356758547,1617.81789546543,1570.611420373,1616.37214038585,1638.370890285,1679.901563575,1753.41569587063
DRAA-TAFILALET,1385.96651800992,1407.23896344562,1433.47929896207,1453.93965464013,1485.83197064288,1506.80205918247,1534.03934514894,1561.51689047563,1589.23629283679,1617.19915752364,1645.40709745099,1673.86173316347,1718.68411925632,1768.25007722927,1627.25517737946,1655.5228185,1705.77835496726,1745.17380237858,1808.31792328362
ORIENTAL,1590.41247987496,1615.15063798599,1644.64859929778,1650.89162397173,1620.12778009169,1633.45752783675,1682.54123276995,1754.18688622226,1815.7458132279,1890.72526634366,1923.66007897012,1968.55909529057,1992.21278494761,2011.16326741497,2128.3756323196,2154.02784867727,2205.6999503488,2246.79348872807,2277.5659656223
SOUSS-MASSA,3083.08973632555,3277.425470835,3304.02305446853,3456.61925186585,3549.04544390409,3735.47384964287,4010.70460434904,4211.1375593125,4112.19015872827,4207.54045169528,3953.02420666176,4108.6306495719,4087.67863590267,3977.82358386609,3708.3829330954,3722.58612087708,3701.03700046529,3751.63183557171,3654.21866538025
ED DAKHLA-OUED EDDAHAB,1687.63028071549,1740.03350481721,1620.91766386169,1637.81949625028,1653.35721731983,1803.20509521285,1932.20016320637,2036.65224962993,2126.15747795854,2261.63555321412,2401.08840900183,2545.10131100758,2692.56241232578,2849.00745603729,2869.76603367181,3027.51944952585,3067.75980547132,3011.86441315824,3198.45750383652
MARRAKECH-SAFI,2948.312969945,3088.26751011951,3217.51878357249,3495.49766769978,3735.68332693697,4087.70657902221,4543.6029555076,4800.74449311,4964.912397544,4890.435669165,5011.811934075,4485.75312605,4385.19811916,4297.765841175,3971.31607426,3979.10570852,3851.537364645,3804.48036041,3760.00430609889
TANGER-TETOUAN-AL HOCEIMA,2706.23109574633,2635.12107266506,2895.37154037899,3104.38870388197,3042.96976714253,3185.98599279744,3267.83040077139,3560.56446683507,3570.11999659749,3833.59024034214,3725.97602746336,3612.11403525055,3573.32734856128,3506.11812717871,3562.54934327789,3565.04630596526,3625.48701241015,3739.85909395536,3759.36236739019
GUELMIM-OUED NOUN,3112.02568423763,3123.02980593696,3168.52493800214,3128.79018257151,3068.32102062164,3020.46508674817,2988.13554945867,3168.95366585971,3428.43203237137,3387.85580924989,3428.69150456656,3466.62136899808,3473.50307085443,3772.25452488593,3382.03044911967,3376.72187241757,3376.10903115742,3388.00177451386,3394.48853769687
