region,ml_2001,ml_2002,ml_2003,ml_2004,ml_2005,ml_2006,ml_2007,ml_2008,ml_2009,ml_2010,ml_2011,ml_2012,ml_2013,ml_2014,ml_2015,ml_2016,ml_2017,ml_2018,ml_2019
CASABLANCA-SETTAT,4765.87682931758,4924.67645534425,4985.57836220045,5088.62741411513,5007.13925904326,5189.07894255193,5396.97186063742,5724.31752457624,5873.9379301281,5934.24121270887,6022.66594063971,6006.7070779555,6025.81077455178,6081.26561086622,6097.33931904501,6174.27684473379,6239.70350478804,6264.28289716613,6346.86905755515
FES-MEKNES,2686.60876993186,2692.39756781631,2969.16412671615,3289.97436040626,3424.12338770696,3500.10109564352,3601.74791415532,3836.4119796474,4047.576984203,4205.84969942314,4235.8013803348,4089.86570914208,4063.98725042646,4096.13872946816,4085.22993847929,4153.24278195734,4181.04120004512,4177.7621120636,4116.65755806262
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,1390.21074816,1429.71028824,1488.79901512,1534.59458912,1640.600884125,1679.5072881,1766.385444175,1846.4379701125,1941.7971999875,2067.76485295,2181.9297436875,2203.54304135234,2224.82468195016,2277.89733132517,2344.87850863975,2395.91805026882,2442.68803093221,2470.868399925,2531.73564301602
RABAT-SALE-KENITRA,2674.00118343662,2780.46262507812,2826.21252835408,2894.43857938554,2919.31991395095,2931.84952803304,3037.26063467021,3180.9680374244,3235.60484033419,3274.19466240778,3354.187780655,3526.745235015,3643.45753915,3762.549257465,3876.260902545,3954.76894746,3998.32545655,4062.57050175,4131.05484435
BENI MELLAL-KHENIFRA,1556.27083667535,1554.97277621634,1603.52911288446,1671.01022782796,1738.81023885258,1742.18442372116,1758.18218753294,1804.61367304276,1874.26936249929,1964.6757009125,2070.57673468329,2178.34052287499,2201.29609104599,2323.22512559793,2399.70656385265,2450.28189351167,2456.99230932,2516.547535225,2536.36576255
DRAA-TAFILALET,1252.81214955234,1277.02509690037,1289.28717124476,1301.58965443954,1315.14010864139,1327.54126677069,1339.98704116734,1352.47871093589,1365.01750485742,1377.60460540682,1390.24115237335,1402.92824613091,1441.20517741173,1481.95148495345,1485.3326883873,1538.8997,1598.051649125,1655.404763875,1748.9682375
ORIENTAL,1699.25855019984,1742.33369149547,1807.2874435613,1837.20882109305,1830.21820461894,1833.49745731166,1879.81327012257,1915.11073251626,1963.95933115686,2069.03850627599,2107.67731893274,2150.14998163229,2174.47062938861,2191.99413779438,2307.25031890662,2353.97244267388,2424.68066796417,2455.87485445,2508.24135201752
SOUSS-MASSA,2388.67650511306,2451.10179321144,2631.45926085892,2820.63532766914,2919.97252115261,2896.99788956619,2800.58781984158,2884.65051710974,2943.03220751512,3023.34684425593,3081.41146023914,3107.34918579417,3188.89425251986,3233.19307163751,3213.00485367498,3307.50103848914,3353.56776230655,3391.89938201,3439.09854942539
ED DAKHLA-OUED EDDAHAB,2101.47,1975.63,1836.835,1751.56,1765.73,1883.66,1977.2525,2077.565,2153.785,2207.795,2261.685,2314.575,2368.465,2423.54,2154.3903,2117.2943,2258.7782,2390.3302,2605.874
MARRAKECH-SAFI,2283.274368045,2478.922253555,2619.831778015,2781.615687665,2929.39900995,3076.00813722,3250.09410145,3407.17603445,3592.56773485,3841.55703193,3969.45295154,3863.05444108,3871.49891532,3960.6835822,3960.63557507,4018.399234135,4041.75541065,4126.48294877,4203.70936126136
TANGER-TETOUAN-AL HOCEIMA,2771.46875972559,2760.92209717183,2958.79298842431,3030.90964076698,3224.69684903089,3341.22806724182,3457.14530142497,3547.14441522748,3356.69471228964,3463.79248292003,3637.22210884787,3742.80143927726,3714.68570953084,3823.92174557656,3843.82377735304,3937.60088959945,4040.68921829321,4106.003736925,4173.4711869404
GUELMIM-OUED NOUN,1509.75079850595,1499.59093863506,1470.58,1425.937051,1433.2899110995,1441.77875179202,1423.21131993007,1412.79156468531,1404.84363854895,1442.1705,1441.23825,1459.61875,1478.815,1499.98,1545.3535,1567.8294,1576.2595,1612.292,1644.4914
