region,ml_2001,ml_2002,ml_2003,ml_2004,ml_2005,ml_2006,ml_2007,ml_2008,ml_2009,ml_2010,ml_2011,ml_2012,ml_2013,ml_2014,ml_2015,ml_2016,ml_2017,ml_2018,ml_2019
CASABLANCA-SETTAT,1498.56100496291,1546.86088496538,1611.6978882324,1673.11664699874,1744.43509381802,1802.82003215521,1861.02038588285,1948.48012637231,2047.98492246824,2128.66581774651,2241.96148569435,2358.77029122908,2415.16732547608,2459.32319775328,2451.68384204324,2466.2292478191,2496.52942286018,2546.6237147794,2589.37308017352
FES-MEKNES,1089.87438904369,1109.86440991225,1094.95820860545,1062.84467663176,1085.47242230738,1119.88514027152,1146.58959542089,1205.51229487432,1267.54974033209,1331.41080863552,1390.00271297482,1452.34110640938,1457.91960856561,1490.83168338984,1485.67838492185,1527.74056908602,1567.71152962132,1590.006098745,1616.32768960722
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,826.993289232105,861.676174344947,892.600462013193,928.165183240695,933.92105309552,957.865620995831,1018.90161191361,1065.53053789698,1126.19899688319,1188.13622040899,1240.26684388586,1282.36042561423,1323.70878612662,1364.83768424132,1414.34534414495,1432.82134208768,1456.51335473072,1472.05885357,1517.12496336468
RABAT-SALE-KENITRA,1166.18945198387,1267.26456321155,1302.66278967733,1302.61849649698,1320.29533285117,1385.72736978188,1417.31628532353,1473.54723002611,1538.06613585909,1565.45984858111,1606.307607995,1703.41180236591,1766.32025138545,1829.096311885,1907.1007789,1963.8091394,1992.98414606,2044.06883865,2116.36882575
BENI MELLAL-KHENIFRA,1135.53377925193,1164.68283464194,1197.27602542091,1210.70228684399,1187.46581302712,1170.52116420083,1179.22081943279,1198.92049563157,1220.40873230561,1235.44172534518,1253.74313300308,1272.84149993361,1294.11384275616,1314.16778222374,1302.13899848051,1343.87483755947,1385.05537135,1432.966216225,1501.1208895571
DRAA-TAFILALET,861.901250272874,877.455426509937,882.927484388289,888.434166125188,892.628019505379,898.195826416528,903.798870421935,909.437377883507,915.111576639178,920.821696012671,926.567966823333,932.35062139603,947.949672866075,966.04765106845,957.024829424631,981.5888652,1019.758749715,1048.023287915,1100.908943695
ORIENTAL,931.439215208381,957.429683089147,984.621452162086,1013.83017210275,1053.52791982978,1077.75391687953,1130.52845881986,1181.07388167498,1228.8262569274,1263.07691576336,1283.43389292697,1319.03782428741,1343.20291138423,1356.63612840521,1398.52440798095,1427.34305019154,1485.73346078317,1512.83733478,1540.22954844198
SOUSS-MASSA,1529.4499667074,1512.60101472149,1466.95895737822,1430.16512920848,1395.67443761694,1424.21461881814,1446.55642453297,1481.25549984193,1564.52778947643,1630.14555714088,1692.25686969764,1737.17083402382,1793.46635929728,1847.54422855696,1795.81535160196,1813.98846807387,1834.57191521817,1861.187972765,1878.56017217619
ED DAKHLA-OUED EDDAHAB,1049.75412057018,1078.16970305482,1096.9325273666,1141.47427325865,1171.39891815934,1260.56957339789,1320.1645642499,1372.50054349194,1434.72548340912,1436.44675665676,1438.39016801613,1439.94957147762,1441.892982837,1446.66440799304,1408.42546183657,1399.47478720019,1481.1493736,1557.0681992,1728.05930608
MARRAKECH-SAFI,1106.012527965,1160.406063005,1217.9773406,1281.880731325,1321.925185975,1369.32970556,1414.64584708,1492.23677294,1569.63993651,1656.58331824,1738.629718365,1807.494121765,1849.210643445,1884.75801176,1844.02595792,1860.27277223,1876.126059315,1926.618380785,1985.25211306665
TANGER-TETOUAN-AL HOCEIMA,1430.8324568746,1515.50963827446,1610.69007709649,1674.26725960519,1738.48498139505,1792.13467205906,1844.5505098828,1922.44493621499,1926.30352683769,2049.70787040804,2122.96110883754,2174.94048459331,2239.53077801587,2304.10534881756,2270.48486785122,2306.60731323054,2354.77107727445,2397.209777735,2428.69168164234
GUELMIM-OUED NOUN,812.064132129835,838.304794876474,808.926648474358,771.953533050716,755.810480301336,756.041861180499,767.241943811913,803.80900211959,844.94307178996,872.171963043662,865.886753687975,870.24993280554,889.902915522312,940.466207061891,957.78028522,976.034654569132,992.210532750311,1009.93078780972,1034.59420959179
