region,ml_2001,ml_2002,ml_2003,ml_2004,ml_2005,ml_2006,ml_2007,ml_2008,ml_2009,ml_2010,ml_2011,ml_2012,ml_2013,ml_2014,ml_2015,ml_2016,ml_2017,ml_2018,ml_2019
CASABLANCA-SETTAT,4368.30584015014,4546.00569865282,4520.76742997484,4747.43230089776,4733.39079565591,5157.97419426453,5663.97184187877,6157.54229244001,6389.3442263517,6383.5667360064,6510.93077274818,6443.86022436444,6518.52080992312,6602.99199012534,3822.50745440979,3844.284438309,3884.66174248122,3906.75447422827,3958.58099486401
FES-MEKNES,1303.32155797224,1331.64613009722,1353.20504520665,1354.81109866566,1407.36455121001,1446.05238622393,1491.33446765025,1572.1552244908,1648.26613374586,1746.62274507615,1822.52142651796,1907.01581093535,1916.2305513955,1944.73303898294,1849.86274488266,1890.47385878109,1927.88713086911,1950.19321281005,1971.09088928456
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,939.780271683867,975.637465391756,1021.64277362106,1072.15043725977,1092.11358336101,1120.35270134469,1181.74759026648,1227.87731979065,1288.85703681324,1352.04989535725,1403.85822828553,1434.78045106586,1476.21303084666,1520.31060207104,1566.77830055121,1588.54974484981,1612.70736083521,1629.60841501859,1673.37518728788
RABAT-SALE-KENITRA,1746.08562011805,1816.59638016681,1872.36283157756,1936.31525578957,1966.28231737876,2029.3937611667,2100.9218229157,2181.03102812831,2244.59456133868,2284.2077219357,2339.03373448501,2457.02931302778,2541.37230038526,2627.16233990911,2614.78127958243,2678.25082100057,2708.78248636213,2767.29334114329,2844.89782433617
BENI MELLAL-KHENIFRA,1109.53611598744,1133.50099033796,1163.63686299818,1183.40759540169,1174.93030431951,1167.39241745765,1187.96930436246,1212.91556738994,1243.2479675064,1258.52551724489,1274.19069898603,1290.97880191302,1308.7034663846,1326.84660199401,1373.37249837989,1414.53169910993,1452.4602634192,1499.30851495567,1563.19680246728
DRAA-TAFILALET,913.730224700443,929.687630205294,936.322499838208,942.695317989762,946.464789730668,952.877561064155,959.637605667711,966.445643728338,973.302041310797,980.20716633326,987.161388643523,994.165080089871,1018.76043476392,1045.41684774273,1001.78339047095,1028.62999383586,1069.54324595999,1101.17077178712,1157.83795711148
ORIENTAL,1096.0915234631,1136.34289035704,1168.5370844628,1199.63232641718,1246.93812229318,1268.00444365836,1316.70577829437,1369.96464356021,1427.58287932773,1475.75475228796,1499.82293717975,1532.25064953279,1556.08574830372,1573.30129505123,1571.2939187905,1598.62554107254,1659.09525777561,1688.29308520304,1719.16082710496
SOUSS-MASSA,1789.60144123654,1846.7658432482,1837.36617538904,1846.22612548154,1835.67185602581,1873.31298907123,1912.69920616928,1964.00795158184,2027.4357465749,2088.47719666889,2152.97812773981,2211.76882630598,2278.34612989098,2325.30978226073,2161.2547166625,2188.83390695078,2214.75834538686,2244.24890572238,2260.39974882319
ED DAKHLA-OUED EDDAHAB,1213.32774629532,1222.91854483764,1207.74305424501,1240.61476959795,1260.54485441841,1347.36627402443,1421.8767802409,1470.65779934439,1529.81769135524,1549.05777712398,1568.61016977439,1587.96524116297,1607.36078904254,1622.89387925418,1504.19377769152,1501.59429856333,1586.12710337542,1656.67467406656,1831.24649081274
MARRAKECH-SAFI,1482.03687928572,1565.55056042725,1637.38785574734,1740.0399866891,1785.74759506201,1884.2781073264,2002.97221562182,2110.8177876562,2210.69998067888,2318.67624356956,2423.37114600463,2481.15865516264,2516.71048328187,2569.77743751991,2336.00455109481,2356.57362737723,2372.94986953183,2423.121491426,2483.77499878697
TANGER-TETOUAN-AL HOCEIMA,1916.13826440531,1985.33386680831,2115.33887843303,2194.08202069994,2307.50004960142,2397.06328312951,2481.84616094239,2566.09752056783,2533.20950226909,2662.20807419831,2738.63250625119,2803.74316187123,2868.43989585176,2937.95998808014,2865.43305524692,2910.86889685926,2962.79646731921,3006.73590112155,3040.14889346085
GUELMIM-OUED NOUN,937.815995897738,939.496745652337,937.083838326462,932.190809287788,929.287749048581,930.099703523154,919.198083834358,954.51009438693,999.586764682728,1035.69731028883,1037.21651360716,1046.74204651537,1060.64563381625,1098.17661244398,1035.88222763067,1054.51340873908,1071.48245984648,1090.66077932847,1116.19524170897
