region,ml_2001,ml_2002,ml_2003,ml_2004,ml_2005,ml_2006,ml_2007,ml_2008,ml_2009,ml_2010,ml_2011,ml_2012,ml_2013,ml_2014,ml_2015,ml_2016,ml_2017,ml_2018,ml_2019
CASABLANCA-SETTAT,11348.2586947946,11886.106706058,11794.496754369,12633.6006123669,12969.7955240205,14515.9592141446,16406.2313137892,18106.3530770779,18987.6551865594,18896.9827346537,19311.849362251,18986.1987778718,19227.6263552582,19526.0112368772,14838.9802099042,14833.3270896481,14912.4441883443,14737.3969026032,14863.7745770442
FES-MEKNES,2789.96570765945,2949.30549683644,3171.58971750527,3288.8246195282,3473.66526603017,3619.18965802488,3758.46689201922,3957.28848053468,4134.60514432392,4452.48264959679,4714.29682977469,5069.85896996878,4987.56618127688,5048.37969530527,5335.33430097457,5419.46771721984,5502.19471978685,5552.65207437513,5580.37934785549
LAAYOUNE-BOUJDOUR-SAKIA AL HAMRA,8055.231975,8262.692875,8567.9748,8788.661825,9077.58845,9230.933275,9391.696775,9565.329275,9794.743575,10019.24325,10237.093575,9795.08748533314,10005.9840258838,10197.7770467836,9836.22590119058,9914.05118028132,9944.93613733609,10009.7656,10083.834875
RABAT-SALE-KENITRA,7743.41045100975,7994.45278410926,8427.81498392638,8819.21290727507,8826.75233387976,8952.54102469765,9245.84402121192,9574.88105727847,9727.70004255632,9896.92088577357,10020.2649063645,10331.0150604386,10607.7292368218,10887.09851681,9875.571762907,10042.97408529,10058.366514,10144.26338332,10287.9906199
BENI MELLAL-KHENIFRA,2356.01196912464,2486.2269042107,2579.42035307931,2685.83679845909,2746.19752623803,2769.77074689042,2826.86020075039,2932.1649060416,2967.39820500723,3043.82849493946,3077.04448626534,3079.61346909254,3098.35447882378,3159.02919392475,3042.59725380602,3107.35437576403,3114.85095956,3195.166746865,3248.85136639
DRAA-TAFILALET,3456.76726348544,3515.22077891853,3585.90293889588,3642.10144912861,3728.43914329388,3786.15695130342,3860.05546638057,3934.7954765987,4010.38516283586,4086.83277981078,4164.14665672168,4242.33519789046,4362.5321801479,4495.32295208422,4161.89466590207,4244.3121865,4370.232379625,4467.68746355,4659.11611795
ORIENTAL,3193.97969402766,3240.17058726322,3298.65975011602,3308.28545569929,3248.85101633043,3273.50709545087,3369.62517456865,3506.66955780041,3622.49308240635,3766.17799474926,3825.4251433609,3884.54881732523,3914.96809265552,3937.44529616363,4189.09274411377,4231.09607905946,4325.1933801483,4382.34273207,4435.51349987932
SOUSS-MASSA,5727.51275571701,6054.71520917594,6065.98517786733,6311.78417173365,6474.38272966088,6784.21457077934,7244.71299315089,7575.91257246738,7362.40039785023,7511.37367536168,7559.95853705716,7695.70324131334,7763.9258636103,7736.64727586728,7152.14901446364,7277.5971530266,7337.82775321118,7401.63434299915,7393.44698570043
ED DAKHLA-OUED EDDAHAB,5074.56925141265,5190.38295057359,5079.91877460332,4936.17700518508,4812.74598960772,5036.69271957187,5190.04059184985,5260.52029104261,5289.32758467556,5425.92456029327,5561.8279979251,5698.22581663251,5834.62363533992,5971.16765978538,5910.935771427,6058.46367656817,6355.22789048,6670.32382072,7227.46793416
MARRAKECH-SAFI,4860.10334554,5160.17712171,5431.36581997,5967.76889007,6461.70347152,7171.638459485,8074.215453035,8646.124267725,9068.54879864,9050.20650294,9359.27406037,9312.234067225,9332.124191615,9491.245254585,8731.63232327,8755.81942721,8761.022311925,8849.41767449,8939.02189833709
TANGER-TETOUAN-AL HOCEIMA,6257.70248450232,6213.46275992721,6573.3179602442,6478.64333273599,6187.76591259016,6344.42823770241,6288.78955650456,6552.12281112919,6459.13645408603,6715.46495553405,6813.08920017187,6784.42719023174,6895.05869602193,6953.06760514384,7004.66704547144,7071.07375135855,7159.54494353335,7229.69982585456,7312.81209794818
GUELMIM-OUED NOUN,4810.23672144309,4780.89427744229,4809.29185898449,4703.91379279532,4570.64428822299,4458.30780388809,4476.10740741177,4571.62562301538,4776.6674510762,4784.4044552202,4839.69233234746,4883.43893316199,4911.64407096366,5024.18016277647,4547.90468208375,4571.09735198899,4599.5586583157,4648.64245345652,4685.83460712617
